Vegas Golden Knights W/L History,W/L as Binary,Notes
W,1,Inaugural Game
W,1,
W,1,
L,0,
W,1,
W,1,
W,1,
W,1,
W,1,
L,0,
L,0,
L,0,
W,1,
OTL,0,
L,0,
W,1,
L,0,
W,1,
W,1,
W,1,
W,1,
W,1,
L,0,
L,0,
L,0,
W,1,
W,1,
W,1,
W,1,
OTL,0,
W,1,
W,1,
W,1,
W,1,
W,1,
W,1,
W,1,
W,1,
L,0,
W,1,
W,1,
OTL,0,
L,0,
W,1,
OTL,0,
W,1,
W,1,
L,0,
W,1,
W,1,
L,0,
W,1,
L,0,
W,1,
L,0,
W,1,
W,1,
W,1,
L,0,
W,1,
W,1,
OTL,0,
L,0,
L,0,
W,1,
L,0,
W,1,
W,1,
W,1,
L,0,
L,0,
W,1,
W,1,
OTL,0,
OTL,0,
W,1,
L,0,
W,1,
W,1,
W,1,
L,0,
L,0,Final Game of 2017-2018
L,,2018-2019 Start
W,,
L,,
L,,
L,,
W,,
W,,
W,,
OTL,,
L,,
W,,
L,,
L,,
W,,
L,,
W,,
L,,
L,,
W,,
L,,
W,,
L,,
W,,
W,,
W,,
W,,
W,,
L,,
W,,
W,,
L,,
W,,
W,,
OTL,,
W,,
L,,
W,,
OTL,,
OTL,,
W,,
W,,
W,,
W,,
W,,
W,,
W,,
L,,
W,,
L,,
W,,
L,,
L,,
L,,
L,,
W,,
W,,
L,,
L,,
L,,
W,,
L,,
OTL,,
L,,
W,,
W,,
W,,
W,,
W,,
W,,
L,,
W,,
W,,
W,,
W,,
OTL,,
L,,
L,,
L,,
OTL,,
W,,
L,,
L,,End of 2018-2019
